"name","team","total_medals"
"Michael Fred Phelps, II","United States",28
"Larysa Semenivna Latynina (Diriy-)","Soviet Union",18
"Nikolay Yefimovich Andrianov","Soviet Union",15
"Takashi Ono","Japan",13
"Borys Anfiyanovych Shakhlin","Soviet Union",13
