"name","team","total_gold_medal"
"Michael Fred Phelps, II","United States",23
"Raymond Clarence ""Ray"" Ewry","United States",10
"Paavo Johannes Nurmi","Finland",9
"Frederick Carlton ""Carl"" Lewis","United States",9
"Larysa Semenivna Latynina (Diriy-)","Soviet Union",9
